Name,Website,Headquarters,Other Offices,Investment criteria,Cheque size,Currently investing?,Email
NEU Capital,https://www.neu.capital/,selC4x5MkfS1bQ8Ol,"Melbourne, Auckland, London, Johannesburg",,$20m-$200m,,enquiries@neu.capital
Leap Capital,https://www.leapcapital.com.au/,selC4x5MkfS1bQ8Ol,,"AU/NZ companies. Proven business models with revenue of >$4 million, growing at >20% pa. Either pre-profit with a clear path to profitability over 6-18 months or breakeven now with growth plans that require funding. Any sector, but probably technology-enabled",$2-10m,selo7NstG7IyksWr2, greypert@gcifunds.com.
Western Tech,https://westerntech.com/,selJ8fY95io0yr3Nl,,Invest in technology and life science companies ranging from early-stage private companies to publicly-traded companies,$250k-$25M,selo7NstG7IyksWr2,andrew@westerntech.com
Paddington St Finance,https://www.paddingtonfinance.com.au/,selC4x5MkfS1bQ8Ol,,"AU/NZ companies receiving the R&D Tax Incentive OR ALTERNATIVELY expected to be cash flow breakeven within 6 months based on run-rated earnings or already achieving profitability. Sector agnostic, however, we have differentiated capability in understanding clean energy and low carbon business models.",$500k-15m,selo7NstG7IyksWr2,ted.dow@paddingtonfinance.com.au
Tractor Ventures,https://tractorventures.com/,selyG32Iu4shAQosA,"Sydney, Brisbane, Auckland",ANZ based tech companies with strong recurring revenues (min $50k MRR or soon to be) and min 4 months current runway,$50k - $1m,selo7NstG7IyksWr2,hello@tractorventures.com
Lighter Capital,https://lightercapital.com/australia/,selC4x5MkfS1bQ8Ol,"LA, Melbourne","B2B SaaS, 6 month runway ",$50k-$1m,selo7NstG7IyksWr2,bkrongold@lightercapital.com
Founderpath,https://founderpath.com/,selN8LW0nLfSiCTit,,"SaaS companies doing at least $10,000 in monthly recurring revenue (MRR), with the typical company profile doing between $1 million and $5 million in ARR. ",~$500k,selo7NstG7IyksWr2,
Kashcade,https://www.kashcade.com,selC4x5MkfS1bQ8Ol,,"We serve growing tech companies with predictable or recurring revenue streams. If you have 6+ months of revenue history, $15k+ MRR, and enough runway to get you through the next 6-12+ months, please reach out.",$50k+,selo7NstG7IyksWr2,alex.simmons@kashcade.com
Rixon Capital,www.rixon.capital,selC4x5MkfS1bQ8Ol,,"- AU/NZ companies with proven business models and strong recurring revenues 
- Pre-profit/breakeven with a clear path to profitability within 6-12 months
- Sector agnostic
- Senior secured debt only
- Interest to be cash paid on a monthly basis",$2-$10m,selo7NstG7IyksWr2,enquiries@rixon.capital
Liquidity Capital,https://www.liquiditygroup.com/,sel5dEU4yxG2OxfDi,"NYC, Tel Aviv, Singapore, London","Sector: sector-agnostic for all tech companies (most-well suited to SaaS, platforms, marketplaces)
Stage: Series A+ all the way to pre-IPO or listed (under $5B market cap)
ARR/Net revenue: $10M+
Runway: 6 months+
Growth: ideally 2.5% MoM or 30% YoY+",$5-100M,selo7NstG7IyksWr2,carmen@liquiditygroup.com
Epicorp,https://www.epicorp.biz/,selgHE7gRjeDnsXJ7,,Customers and cashflow,70-300,selo7NstG7IyksWr2,
iPartners,ipartners.com.au,selC4x5MkfS1bQ8Ol,"Sydney, Singapore, Melbourne, Auckland, Brisbane",,"$250,000 - $100,000,000",selo7NstG7IyksWr2,deals@ipartners.com.au
Advanced.,www.getadvanced.com.au,selzFIjzvXXN2WBGw,,,,selo7NstG7IyksWr2,Alex@getadvanced.com.au
Mighty Partners,https://www.mightypartners.com.au/,selC4x5MkfS1bQ8Ol,,,$250k - $5m,selo7NstG7IyksWr2,contact@mightypartners.com.au
Partners for Growth,https://www.pfgrowth.com/,selnrF7WWQJUmaZHY,Sydney,Venture and custom debt to businesses generating $3M or more of revenue in the innovation sector.,$2M to $30M,selo7NstG7IyksWr2,info@pfgrowth.com
Dare Capital,https://www.dareaustralia.com/,sel2wQJ4XKXTSCiKX,Sydney,Provider of R&D Finance to deep-tech and life sciences companies,No limit,selo7NstG7IyksWr2,contact@darecapital.com.au
Marshall Investments,https://www.marshall.com.au/invest/growth-capital/,selC4x5MkfS1bQ8Ol,,ARR: $5-$10m +,$2-$20m,selo7NstG7IyksWr2,growthcapital@marshall.com.au
