Name,Website,Office/s,Stage/s,Portfolio,Market/s,Firm LinkedIn,Firm Twitter,Contact Downloads
100X.VC,http://www.100x.vc,Mumbai (India),"Pre-Seed, Seed",https://www.100x.vc/portfolio,"FinTech, HealthTech, Digital Health, Internet, Consumer Tech, EdTech, Enterprise Software, HRTech, MarTech, Data Analytics, AI, Consumer Services, Consumer Goods, Mobility, E-commerce, Supply Chain, AgTech, FoodTech, IoT, Robotics, Marketplaces",https://www.linkedin.com/company/100x-vc/,https://twitter.com/100X_VC,https://payhip.com/projectstartups
1818 Venture Capital,https://www.1818venturecapital.com,Guernsey (United Kingdom),"Pre-Seed, Seed",https://www.1818venturecapital.com/portfolio,"FinTech, Payments, InsurTech, Digital Health, SaaS, Enterprise Software, Cyber Security, MarTech, HRTech, LegalTech",https://www.linkedin.com/company/1843-capital,,https://payhip.com/projectstartups
2048 Ventures,https://www.2048.vc,New York (United States),"Pre-Seed, Seed, Post-Seed",https://www.2048.vc/companies,"Enterprise Software, AI, ML, FinTech, HealthTech, Cyber Security, Dev Tools, Hardware, Genomics, Marketplaces, D2C",https://www.linkedin.com/company/2048vc/,https://twitter.com/2048vc,https://payhip.com/projectstartups
4Di Capital,https://www.4dicapital.com,Cape Town (South Africa),"Pre-Seed, Seed, Series A",https://www.4dicapital.com/#portfolio,"Consumer, InsureTech, FinTech, HealthTech, B2B Software, Enterprise, SaaS, AI/ML, Supply Chain & Logistics",https://www.linkedin.com/company/4di-capital/,https://mobile.twitter.com/4dicapital,https://payhip.com/projectstartups
4DX Ventures,https://www.4dxventures.com,"New York (United States), Accra (Ghana), Cairo (Egypt)","Pre-Seed, Seed, Series A",,"SaaS, Marketplaces, FinTech, InsurTech, HealthTech, eSports, Enterprise Software, Supply Chain, Logistics, Wireless, Telcom, SpaceTech",https://www.linkedin.com/company/4dx-ventures/about/,,https://payhip.com/projectstartups
7 Gate Ventures,https://7gate.vc,"Vancouver (Canada), San Francisco (United States)","Pre-Seed, Seed, Pre-Series A",https://7gate.vc/portfolio/,"Enterprise Software, Marketplaces, HealthTech/Digital Health, Medical Devices",https://www.linkedin.com/company/7-gate-academy/,https://twitter.com/7GateAcademy,https://payhip.com/projectstartups
70Ventures,https://www.70v.com,Vilnius (Lithuania),"Pre-Seed, Seed, Series A",https://www.70v.com/portfolio,"B2B Software, Enterprise Software, SaaS, B2B Marketplace",https://www.linkedin.com/company/70v/,https://twitter.com/70ventures,https://payhip.com/projectstartups
7percent Ventures,http://7pc.co/,"London (United Kingdom), San Francisco (United States)","Pre-Seed, Seed, Series A",http://7pc.co/investments/,"Frontier Tech, DeepTech (AI & Deep Learning, Quantum Computing, Computer Vision, AR & VR, Blockchain & Crypto, Drones, Robotics, SpaceTech), SaaS, Marketplaces, Mobile (FinTech, Next-Gen Enterprise & Consumer Apps/Services, Manufacturing, Logistics, Industry 4.0, HealthTech & DeathTech)",https://www.linkedin.com/company/7pc,http://www.twitter.com/7pcventures,https://payhip.com/projectstartups
Acequia Capital,https://acecap.com,Seattle (United States),"Pre-Seed, Seed, Series A",,"Tech (Consumer Internet, Digital Media, FinTech, Software/SaaS, Enterprise/B2B, Cloud, AI, ML, Data Analytics, Computer Vision, IoT, Digital Health, Industrial Automation, Digital Transformation, Retail, Manufacturing)",https://www.linkedin.com/company/acequia-capital/about/,https://twitter.com/acecapofficial,https://payhip.com/projectstartups
Active Capital,https://www.activecapital.com,San Antonio (United States),"Pre-Seed, Seed",,"Enterprise Software/B2B SaaS, Cloud Infrastructure",https://www.linkedin.com/company/activecapital,https://twitter.com/activecapitalvc,https://payhip.com/projectstartups
Acton Ventures,https://actoneventures.com,Los Angeles (United States),"Pre-Seed, Seed",https://actoneventures.com/portfolio/,"Enterprise/B2B Software/SaaS (Computer Vision, Blockchain, Machine Learning, Ambient Computing - Voice Controls, Health Care IT)",https://www.linkedin.com/company/act-one-ventures-lp/,https://twitter.com/actonevc,https://payhip.com/projectstartups
Ada Ventures,https://www.adaventures.com,"London (United Kingdom), Bristol (United Kingdom)","Pre-Seed, Seed",,"Underrepresented/Overlooked Founders, Overlooked Markets: Future of Living (Food, Agriculture, Cities, Mobility, Property, Finances), Health, Consumer",https://www.linkedin.com/company/ada-ventures,https://twitter.com/adaventures,https://payhip.com/projectstartups
Afore Capital,https://www.afore.vc,San Francisco (United States),Pre-Seed,https://www.afore.vc/portfolio,Flexible (Tech),https://www.linkedin.com/company/aforecapital/,,https://payhip.com/projectstartups
Alpaca VC,https://alpaca.vc,New York (United States),"Pre-Seed, Seed (Lead)",https://alpaca.vc/portfolio/,"Consumer (Personalization, Wellness & Luxury Goods), Subscription Commerce (Payment Processing Software, Marketplaces, E-commerce Tools), Virtual Communities (Digital Products/Services), FemTech (Child Care, Elderly Care, Women's Health), PropTech (Branded Living/Working, Smart Buildings/Homes, Home Ownership), B2B Marketplaces, Global Commerce Infrastructure",https://www.linkedin.com/company/alpacavc/,https://twitter.com/alpacavc/,https://payhip.com/projectstartups
