Organization/Person Name,Description,Primary Job Title,Primary Organization,Investment Stage,Investor Type,Regions,Twitter,Website,Number of Investments,Number of Exits
Serena Williams,Serena Williams is an American professional tennis player who is currently ranked No. 1 in women's singles tennis. The Women's Tennis Associ...,Founder,Serena Williams Foundation,Seed,"Investment Partner, Individual/Angel","Greater Miami Area, East Coast, Southern US",http://twitter.com/serenawilliams,,2,
Oprah Winfrey,"Oprah Winfrey is an American talk show host, actress, producer, and philanthropist. She is best known for her multi award willing talk show,...","Chairwoman, CEO, and CCO",Oprah Winfrey Network,Seed,Individual/Angel,Southern US,http://twitter.com/Oprah,http://www.oprah.com/index.html,2,1
Sheryl Sandberg,"Sheryl Sandberg is chief operating officer at Facebook, overseeing the firm's business operations. Prior to Facebook, Sheryl was vice pre...",COO,Facebook,Seed,Individual/Angel,"West Coast, Western US",http://twitter.com/sherylsandberg,,2,1
Gwyneth Paltrow,"Gwyneth Paltrow is one of today’s most prolific and celebrated actors in both television and film. Additionally, Paltrow continues to develo...",Founder and CEO,Goop,Seed,Individual/Angel,"West Coast, Western US",https://twitter.com/gwynethpaltrow,http://goop.com/,1,
Anne Wojcicki,"Anne co-founded 23andMe in 2006 after a decade spent in healthcare investing, focused primarily on biotechnology companies. Her hope was to ...",Co-Founder and CEO,23andMe,Seed,Individual/Angel,"San Francisco Bay Area, West Coast, Western US",https://twitter.com/annewoj23,,11,
Jen Rubio,"Jen Rubio is the co-founder and Chief Brand Officer of Away, a global lifestyle brand that’s working to transform the entire travel experien...",Co-founder & Chief Brand Officer,Away,Seed,Individual/Angel,"Greater New York Area, East Coast, Northeastern US",https://twitter.com/jennifer,,7,
Susan Wojcicki,"Susan Wojcicki is the CEO of YouTube. Previously, she was the Senior Vice President of Advertising & Commerce at Google. She oversaw the ...",CEO,YouTube,Seed,Individual/Angel,"San Francisco Bay Area, Silicon Valley, West Coast",https://twitter.com/susanwojcicki,,2,1
Lady Gaga,"Stefani Joanne Angelina Germanotta, known professionally as Lady Gaga, is an American singer, songwriter, and actress",Founder,Born This Way Foundation,Seed,Individual/Angel,"Greater New York Area, East Coast, Northeastern US",http://twitter.com/ladygaga,http://www.ladygaga.com/,1,
Ellen DeGeneres,"Ellen DeGeneres is an American stand-up comedian, television host, and actress. She starred in the popular sitcom Ellen from 1994 to 1998 an...",Host,Warner Bros.,Seed,Individual/Angel,"Greater Los Angeles Area, West Coast, Western US",http://twitter.com/theellenshow,http://ellen.warnerbros.com,1,1
Meg Whitman,"Meg Whitman has served Hewlett-Packard as Chairman of the Board since July 2014, as President and Chief Executive Officer since September 20...",CEO,Quibi,Seed,Individual/Angel,"Greater Los Angeles Area, West Coast, Western US",http://twitter.com/MegWhitman,http://www.megwhitman.com,2,
Karlie Kloss,Karlie Elizabeth Kloss  is an American fashion model. Models.com ranks Kloss as a supermodel. Vogue Paris declared her one of the top 30 mod...,Founder,Kode with Klossy,Seed,Individual/Angel,"Greater Los Angeles Area, West Coast, Western US",,,5,1
Cyan Banister,"Cyan Banister is a partner at Founders Fund, where she invests across sectors and stages with a particular interest in augmented reality, fe...",Partner,Founders Fund,Seed,"Investment Partner, Individual/Angel","San Francisco Bay Area, West Coast, Western US",http://twitter.com/cyantist,,48,11
Sapna Shah,Sapna Shah,,,"Early Stage Venture, Seed",Individual/Angel,"Greater New York Area, East Coast, Northeastern US",https://twitter.com/RedGiraffe,http://www.redgiraffeadvisors.com,7,1
Selena Gomez,Selena Gomez is an American actress and singer. Gomez is best-known for playing Alex Russo in the popular Disney Channel show _Wizards of...,Recording Artist,Interscope Records,Seed,Individual/Angel,"Greater Los Angeles Area, West Coast, Western US",http://twitter.com/selenagomez,http://selenagomez.com,1,1
Barbara Corcoran,Barbara Corcoran’s credentials include straight D’s in high school and college and twenty jobs by the time she turned twenty-three. It was h...,Co-Founder,Forefront Venture Partners,Seed,Individual/Angel,"Greater New York Area, East Coast, Northeastern US",http://www.twitter.com/BarbaraCorcoran,http://www.barbaracorcoran.com,6,1
Arianna Huffington,"Arianna Huffington is the founder of The Huffington Post, the founder and CEO of Thrive Global, and the author of 15 books, including, most ...",Founder and CEO,Thrive Global,Seed,Individual/Angel,"Greater New York Area, East Coast, Northeastern US",http://twitter.com/ariannahuff,,2,
Priscilla Chan,"Priscilla Chan is co-founder of the Chan Zuckerberg Initiative, a philanthropic organization she started with her husband, Mark Zuckerberg, ...",Co-Founder,Chan Zuckerberg Initiative,Seed,"Investment Partner, Individual/Angel","San Francisco Bay Area, Silicon Valley, West Coast",,,3,
